Instance,Solution normale,Solution relaxation,Statut meilleure solution,Meilleure solution,Ecart (%),Nb noeuds normal,Nb noeuds relaxation,Temps normal (s),Temps relaxation (s)
Instance21.1.txt,13068.0,13068.0,OPTIMAL,13068.0,0.0,49,6,0.8,0.45
Instance120.1.txt,76286.0,77838.0,"TIME LIMIT, FEASIBLE",77838.0,2.03,18765,130514,180.45,180.57
Instance120.10.txt,86148.0,87031.0,"TIME LIMIT, FEASIBLE",86148.0,1.02,22681,276728,180.57,180.45
Instance120.2.txt,67630.0,69437.0,"TIME LIMIT, FEASIBLE",67630.0,2.67,16495,113536,180.33,180.43
Instance120.3.txt,86958.0,87616.0,"TIME LIMIT, FEASIBLE",86958.0,0.76,14219,123212,180.55,180.6
Instance120.4.txt,83660.0,84612.0,"TIME LIMIT, FEASIBLE",83660.0,1.14,12381,123648,180.43,180.5
Instance120.5.txt,109314.0,97819.0,"TIME LIMIT, FEASIBLE",109314.0,10.52,14655,113464,180.37,180.53
Instance120.6.txt,65864.0,66161.0,"TIME LIMIT, FEASIBLE",65864.0,0.45,11188,119275,180.73,180.59
Instance120.7.txt,82471.0,82959.0,"TIME LIMIT, FEASIBLE",82471.0,0.59,16674,30560,180.45,180.43
Instance120.8.txt,72059.0,71668.0,"TIME LIMIT, FEASIBLE",72059.0,0.54,19814,132328,180.34,180.48
Instance120.9.txt,89154.0,90743.0,"TIME LIMIT, FEASIBLE",89154.0,1.78,9005,109562,180.2,180.5
Instance60.1.txt,29739.0,29739.0,"TIME LIMIT, FEASIBLE",29739.0,0.0,472168,567418,180.19,180.26
Instance60.10.txt,31809.0,31809.0,"TIME LIMIT, FEASIBLE",31809.0,0.0,437455,66976,180.14,122.49
Instance60.2.txt,27572.0,27572.0,OPTIMAL,27572.0,0.0,82575,664459,26.92,180.34
Instance60.3.txt,34081.0,34126.0,"TIME LIMIT, FEASIBLE",34081.0,0.13,753328,2032824,180.12,180.16
Instance60.4.txt,31131.0,31131.0,OPTIMAL,31131.0,0.0,94978,1162213,35.5,180.12
Instance60.5.txt,35693.0,35693.0,"TIME LIMIT, FEASIBLE",35693.0,0.0,205577,1246737,180.39,180.27
Instance60.6.txt,25186.0,25186.0,OPTIMAL,25186.0,0.0,184255,2257755,65.49,180.16
Instance60.7.txt,30853.0,30853.0,"TIME LIMIT, FEASIBLE",30853.0,0.0,217518,932198,180.4,162.63
Instance60.8.txt,27962.0,27962.0,"TIME LIMIT, FEASIBLE",27962.0,0.0,322203,3132403,180.23,180.04
Instance60.9.txt,35492.0,35492.0,"TIME LIMIT, FEASIBLE",35492.0,0.0,622139,2396972,180.3,180.19
Instance90.1.txt,51079.0,51629.0,"TIME LIMIT, FEASIBLE",51079.0,1.08,15092,88238,180.65,180.84
Instance90.10.txt,58081.0,57068.0,"TIME LIMIT, FEASIBLE",58081.0,1.74,15750,147151,180.68,180.71
Instance90.2.txt,46902.0,46720.0,"TIME LIMIT, FEASIBLE",46902.0,0.39,17219,84266,180.55,180.68
Instance90.3.txt,57613.0,58241.0,"TIME LIMIT, FEASIBLE",57613.0,1.09,12566,129358,180.88,180.65
Instance90.4.txt,53897.0,53949.0,"TIME LIMIT, FEASIBLE",53897.0,0.1,26016,137294,180.94,180.62
Instance90.5.txt,64833.0,64307.0,"TIME LIMIT, FEASIBLE",64833.0,0.81,15564,142210,180.87,180.78
Instance90.6.txt,41811.0,42036.0,"TIME LIMIT, FEASIBLE",41811.0,0.54,24986,129933,181.37,180.58
Instance90.7.txt,55257.0,55714.0,"TIME LIMIT, FEASIBLE",55257.0,0.83,16108,137342,180.54,180.69
Instance90.8.txt,49097.0,49910.0,"TIME LIMIT, FEASIBLE",49097.0,1.66,14690,142866,180.84,180.75
Instance90.9.txt,60432.0,59951.0,"TIME LIMIT, FEASIBLE",60432.0,0.8,15187,113176,181.09,180.85
Toy_Instance.txt,1788.0,1788.0,OPTIMAL,1788.0,0.0,3,0,0.09,0.05
