Instance,Solution normale,Solution relaxation,Statut meilleure solution,Meilleure solution,Ecart (%),Nb noeuds normal,Nb noeuds relaxation,Temps normal (s),Temps relaxation (s)
Instance120.1.txt,75417.0,75417.0,OPTIMAL,75417.0,0.0,0,0,1.0,0.78
Instance120.10.txt,85103.0,85103.0,OPTIMAL,85103.0,0.0,0,0,0.97,0.79
Instance120.2.txt,67630.0,67630.0,OPTIMAL,67630.0,0.0,0,0,0.95,0.75
Instance120.3.txt,86778.0,86778.0,OPTIMAL,86778.0,0.0,0,0,0.9,0.76
Instance120.4.txt,82367.0,82367.0,OPTIMAL,82367.0,0.0,0,0,0.94,0.77
Instance120.5.txt,96316.0,96316.0,OPTIMAL,96316.0,0.0,0,0,0.94,0.76
Instance120.6.txt,65704.0,65704.0,OPTIMAL,65704.0,0.0,0,0,0.93,0.8
Instance120.7.txt,81866.0,81866.0,OPTIMAL,81866.0,0.0,0,0,0.93,0.81
Instance120.8.txt,70734.0,70734.0,OPTIMAL,70734.0,0.0,0,0,0.94,0.78
Instance120.9.txt,87909.0,87909.0,OPTIMAL,87909.0,0.0,0,0,0.93,0.74
Instance21.1.txt,13068.0,13068.0,OPTIMAL,13068.0,0.0,0,0,0.03,0.03
Instance60.1.txt,29739.0,29739.0,OPTIMAL,29739.0,0.0,0,0,0.17,0.13
Instance60.10.txt,31809.0,31809.0,OPTIMAL,31809.0,0.0,0,0,0.16,0.14
Instance60.2.txt,27572.0,27572.0,OPTIMAL,27572.0,0.0,0,0,0.17,0.13
Instance60.3.txt,34081.0,34081.0,OPTIMAL,34081.0,0.0,0,0,0.16,0.13
Instance60.4.txt,31131.0,31131.0,OPTIMAL,31131.0,0.0,0,0,0.17,0.13
Instance60.5.txt,35693.0,35693.0,OPTIMAL,35693.0,0.0,0,0,0.16,0.13
Instance60.6.txt,25186.0,25186.0,OPTIMAL,25186.0,0.0,0,0,0.2,0.12
Instance60.7.txt,30853.0,30853.0,OPTIMAL,30853.0,0.0,0,0,0.15,0.12
Instance60.8.txt,27962.0,27962.0,OPTIMAL,27962.0,0.0,0,0,0.19,0.14
Instance60.9.txt,35492.0,35492.0,OPTIMAL,35492.0,0.0,0,0,0.16,0.13
Instance90.1.txt,50943.0,50943.0,OPTIMAL,50943.0,0.0,0,0,0.44,0.34
Instance90.10.txt,56514.0,56514.0,OPTIMAL,56514.0,0.0,0,0,0.43,0.35
Instance90.2.txt,46518.0,46518.0,OPTIMAL,46518.0,0.0,0,0,0.43,0.37
Instance90.3.txt,57613.0,57613.0,OPTIMAL,57613.0,0.0,0,0,0.46,0.34
Instance90.4.txt,53897.0,53897.0,OPTIMAL,53897.0,0.0,0,0,0.45,0.34
Instance90.5.txt,64123.0,64123.0,OPTIMAL,64123.0,0.0,0,0,0.45,0.33
Instance90.6.txt,41811.0,41811.0,OPTIMAL,41811.0,0.0,0,0,0.44,0.34
Instance90.7.txt,54913.0,54913.0,OPTIMAL,54913.0,0.0,0,0,0.43,0.33
Instance90.8.txt,49010.0,49010.0,OPTIMAL,49010.0,0.0,0,0,0.43,0.34
Instance90.9.txt,59424.0,59424.0,OPTIMAL,59424.0,0.0,0,0,0.44,0.33
Toy_Instance.txt,1788.0,1788.0,OPTIMAL,1788.0,0.0,0,0,0.05,0.01
